track_popularity,mode,speechiness,instrumentalness,energy,danceability,liveness,acousticness,valence,duration_ms,type,key,tempo,loudness
70,0.0,0.0561,0.0169,0.671,0.499,0.148,0.114,0.0557,336924.0,audio_features,4.0,124.994,-6.774
58,0.0,0.0531,0.0993,0.41,0.593,0.115,0.886,0.201,254407.0,audio_features,3.0,122.584,-13.097
50,0.0,0.122,0.00964,0.645,0.502,0.107,0.444,0.518,202451.0,audio_features,2.0,109.739,-10.611
44,1.0,0.0435,0.00036,0.319,0.718,0.0895,0.965,0.639,250865.0,audio_features,3.0,109.994,-11.261
48,0.0,0.0593,0.0917,0.688,0.775,0.108,0.0176,0.284,336005.0,audio_features,4.0,120.017,-10.912
44,1.0,0.0673,0.0,0.706,0.533,0.132,0.229,0.58,237933.0,audio_features,0.0,104.982,-6.614
58,1.0,0.184,5.47e-06,0.664,0.551,0.093,0.00028,0.415,218365.0,audio_features,0.0,156.026,-4.75
77,0.0,0.326,0.0,0.667,0.423,0.246,0.758,0.496,336511.0,audio_features,6.0,86.743,-7.012
70,1.0,0.313,0.0,0.741,0.701,0.699,0.112,0.588,178623.0,audio_features,2.0,140.177,-6.157
78,0.0,0.29,0.0,0.438,0.767,0.142,0.181,0.381,221980.0,audio_features,7.0,86.975,-8.726
70,0.0,0.297,0.0,0.385,0.686,0.131,0.614,0.147,296568.0,audio_features,7.0,143.07,-8.35
71,1.0,0.287,3.59e-05,0.576,0.73,0.15,0.354,0.155,228461.0,audio_features,2.0,92.131,-5.442
86,1.0,0.26,0.0,0.465,0.666,0.215,0.0503,0.292,291175.0,audio_features,1.0,167.937,-8.545
78,0.0,0.141,4.5e-06,0.597,0.803,0.323,0.000619,0.331,257605.0,audio_features,11.0,136.008,-6.035
74,1.0,0.42,3.05e-06,0.56,0.568,0.39,0.228,0.246,308756.0,audio_features,9.0,130.019,-9.059
69,1.0,0.326,0.0,0.429,0.507,0.109,0.0518,0.0744,273578.0,audio_features,2.0,91.0,-7.726
72,1.0,0.107,0.0,0.69,0.518,0.176,0.128,0.59,205721.0,audio_features,9.0,77.837,-6.15
80,0.0,0.0407,0.0381,0.161,0.476,0.109,0.967,0.0908,133763.0,audio_features,8.0,119.614,-11.665
74,1.0,0.113,0.0,0.744,0.84,0.629,0.0181,0.171,204347.0,audio_features,1.0,83.737,-4.751
84,0.0,0.324,0.0,0.424,0.849,0.0834,0.0635,0.153,242966.0,audio_features,5.0,145.887,-9.579
64,0.0,0.298,0.0,0.531,0.724,0.11,0.225,0.141,239635.0,audio_features,5.0,89.901,-4.108
68,1.0,0.26,8.16e-06,0.635,0.488,0.156,0.179,0.783,269884.0,audio_features,10.0,174.072,-7.19
72,0.0,0.195,0.0675,0.485,0.843,0.107,0.181,0.689,192418.0,audio_features,10.0,100.053,-8.735
71,1.0,0.0374,0.0,0.466,0.32,0.133,0.00645,0.338,229304.0,audio_features,8.0,177.693,-6.77
66,1.0,0.29,0.0,0.851,0.519,0.178,0.118,0.711,213104.0,audio_features,7.0,123.823,-6.001
68,0.0,0.0367,0.00504,0.493,0.59,0.129,0.402,0.0498,252379.0,audio_features,7.0,150.026,-8.704
63,0.0,0.135,0.0,0.416,0.783,0.103,0.213,0.165,245131.0,audio_features,4.0,87.073,-9.84
60,1.0,0.249,6.92e-06,0.53,0.473,0.227,0.812,0.637,351220.0,audio_features,0.0,74.732,-8.506
42,0.0,0.318,1.3e-06,0.662,0.434,0.244,0.761,0.525,336511.0,audio_features,1.0,158.192,-7.055
36,1.0,0.306,0.0,0.735,0.695,0.705,0.119,0.625,178623.0,audio_features,2.0,140.319,-6.109
46,0.0,0.29,0.0,0.427,0.767,0.142,0.195,0.392,221980.0,audio_features,7.0,86.994,-8.656
35,0.0,0.344,0.0,0.368,0.712,0.131,0.613,0.146,296568.0,audio_features,7.0,142.935,-8.473
37,1.0,0.294,0.000143,0.556,0.703,0.15,0.37,0.147,228461.0,audio_features,2.0,92.154,-5.53
56,1.0,0.252,0.0,0.465,0.659,0.235,0.0591,0.275,291175.0,audio_features,1.0,167.959,-8.527
52,0.0,0.129,1.01e-05,0.596,0.803,0.324,0.000722,0.326,257605.0,audio_features,11.0,136.023,-6.064
38,1.0,0.431,1.29e-05,0.556,0.575,0.607,0.233,0.283,308756.0,audio_features,9.0,129.984,-9.083
35,0.0,0.364,0.0,0.423,0.566,0.109,0.0545,0.1,273578.0,audio_features,2.0,129.951,-7.794
38,0.0,0.0979,0.0,0.691,0.522,0.176,0.132,0.587,205721.0,audio_features,6.0,78.546,-6.174
49,0.0,0.0402,0.0385,0.162,0.492,0.109,0.968,0.0904,133763.0,audio_features,8.0,119.396,-11.665
43,1.0,0.217,0.0,0.743,0.84,0.63,0.0192,0.155,204347.0,audio_features,1.0,83.72,-4.799
55,0.0,0.164,2.2e-05,0.358,0.852,0.0714,0.12,0.176,242966.0,audio_features,5.0,145.906,-10.804
29,0.0,0.309,0.0,0.52,0.653,0.11,0.221,0.133,239635.0,audio_features,5.0,90.13,-4.138
34,1.0,0.257,1.15e-05,0.63,0.467,0.156,0.172,0.786,269884.0,audio_features,10.0,173.924,-7.214
37,0.0,0.196,0.0675,0.485,0.841,0.107,0.181,0.69,192418.0,audio_features,10.0,100.043,-8.735
38,1.0,0.0369,0.0,0.464,0.32,0.133,0.00641,0.335,229304.0,audio_features,8.0,178.2,-6.756
33,1.0,0.309,0.0,0.835,0.517,0.178,0.109,0.685,213104.0,audio_features,5.0,122.993,-6.135
34,0.0,0.0367,0.00727,0.477,0.572,0.129,0.382,0.0574,252379.0,audio_features,7.0,149.999,-8.784
33,0.0,0.135,0.0,0.411,0.774,0.103,0.215,0.173,245131.0,audio_features,4.0,87.003,-9.841
26,0.0,0.191,8.2e-06,0.529,0.551,0.228,0.813,0.677,351220.0,audio_features,9.0,80.613,-8.536
58,0.0,0.163,0.0,0.824,0.473,0.605,0.482,0.374,222929.0,audio_features,7.0,77.888,-3.68
61,1.0,0.533,0.0,0.82,0.41,0.538,0.252,0.526,223124.0,audio_features,1.0,170.718,-6.808
83,1.0,0.347,0.0,0.449,0.735,0.113,0.629,0.0397,220488.0,audio_features,10.0,122.947,-7.507
76,0.0,0.047,1.94e-05,0.452,0.458,0.0703,0.342,0.316,269680.0,audio_features,9.0,86.318,-9.299
70,0.0,0.209,3.04e-06,0.49,0.83,0.113,0.289,0.845,247059.0,audio_features,1.0,81.604,-8.82
67,0.0,0.116,0.0,0.506,0.812,0.325,0.281,0.554,237946.0,audio_features,5.0,145.074,-7.706
78,1.0,0.224,0.0,0.477,0.864,0.182,0.201,0.5,192932.0,audio_features,10.0,86.46,-5.786
62,1.0,0.287,0.0,0.636,0.881,0.111,0.00606,0.715,152195.0,audio_features,7.0,163.949,-4.629
61,1.0,0.06,0.0,0.706,0.718,0.352,0.0128,0.815,189176.0,audio_features,1.0,170.004,-5.709
76,0.0,0.108,0.0,0.373,0.825,0.368,0.163,0.12,149078.0,audio_features,5.0,77.271,-5.532
58,0.0,0.351,0.0,0.57,0.551,0.424,0.28,0.505,271184.0,audio_features,1.0,85.687,-7.385
64,0.0,0.199,0.0,0.477,0.787,0.104,0.768,0.476,234783.0,audio_features,6.0,80.506,-7.837
