Unnamed: 0,artist,album,track_name,track_id,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
13,Drake,Her Loss,More M’s,29YW2xXlo6Pc6M0SBTCXYN,74,0.704,0.504,1,-6.749,1,0.223,0.0405,0.000422,0.139,0.0713,82.537,audio_features,29YW2xXlo6Pc6M0SBTCXYN,spotify:track:29YW2xXlo6Pc6M0SBTCXYN,https://api.spotify.com/v1/tracks/29YW2xXlo6Pc6M0SBTCXYN,https://api.spotify.com/v1/audio-analysis/29YW2xXlo6Pc6M0SBTCXYN,221406,4
14,Drake,Her Loss,3AM on Glenwood,1MTXYvJ9TSqg9x6WPCDx2n,66,0.475,0.692,1,-8.327,1,0.398,0.0533,6.49e-06,0.18,0.241,181.167,audio_features,1MTXYvJ9TSqg9x6WPCDx2n,spotify:track:1MTXYvJ9TSqg9x6WPCDx2n,https://api.spotify.com/v1/tracks/1MTXYvJ9TSqg9x6WPCDx2n,https://api.spotify.com/v1/audio-analysis/1MTXYvJ9TSqg9x6WPCDx2n,178329,4
15,Drake,Her Loss,I Guess It’s Fuck Me,31bsuKDOzFGzBAoXxtnAJm,68,0.385,0.34,7,-11.754,1,0.051,0.499,1.2e-05,0.196,0.0398,83.947,audio_features,31bsuKDOzFGzBAoXxtnAJm,spotify:track:31bsuKDOzFGzBAoXxtnAJm,https://api.spotify.com/v1/tracks/31bsuKDOzFGzBAoXxtnAJm,https://api.spotify.com/v1/audio-analysis/31bsuKDOzFGzBAoXxtnAJm,263988,4
16,Drake,Her Loss,Rich Flex,7uWIJXsugQIMaxcYXMxeZV,60,0.569,0.507,7,-9.68,1,0.213,0.0499,9.89e-06,0.107,0.48,153.17,audio_features,7uWIJXsugQIMaxcYXMxeZV,spotify:track:7uWIJXsugQIMaxcYXMxeZV,https://api.spotify.com/v1/tracks/7uWIJXsugQIMaxcYXMxeZV,https://api.spotify.com/v1/audio-analysis/7uWIJXsugQIMaxcYXMxeZV,239360,3
17,Drake,Her Loss,Major Distribution,1VtoDGE3g3P1Bh7kjn6YrC,50,0.934,0.548,11,-10.489,1,0.33,0.0117,0.0,0.0734,0.171,130.975,audio_features,1VtoDGE3g3P1Bh7kjn6YrC,spotify:track:1VtoDGE3g3P1Bh7kjn6YrC,https://api.spotify.com/v1/tracks/1VtoDGE3g3P1Bh7kjn6YrC,https://api.spotify.com/v1/audio-analysis/1VtoDGE3g3P1Bh7kjn6YrC,170502,4
18,Drake,Her Loss,On BS,2xFZnXTDHOy5BH2gdlBEFi,51,0.848,0.372,1,-8.929,0,0.616,0.0133,0.0,0.396,0.351,158.066,audio_features,2xFZnXTDHOy5BH2gdlBEFi,spotify:track:2xFZnXTDHOy5BH2gdlBEFi,https://api.spotify.com/v1/tracks/2xFZnXTDHOy5BH2gdlBEFi,https://api.spotify.com/v1/audio-analysis/2xFZnXTDHOy5BH2gdlBEFi,261544,4
19,Drake,Her Loss,BackOutsideBoyz,174sDqEJUfQtUqDWZ8rMx6,46,0.84,0.433,5,-8.395,0,0.371,0.0556,1.7e-06,0.321,0.453,142.091,audio_features,174sDqEJUfQtUqDWZ8rMx6,spotify:track:174sDqEJUfQtUqDWZ8rMx6,https://api.spotify.com/v1/tracks/174sDqEJUfQtUqDWZ8rMx6,https://api.spotify.com/v1/audio-analysis/174sDqEJUfQtUqDWZ8rMx6,152962,4
20,Drake,Her Loss,Privileged Rappers,6pQr9mnsAjBlBBdFLvsgY5,48,0.932,0.609,0,-7.528,1,0.182,0.00249,1.74e-06,0.129,0.687,144.055,audio_features,6pQr9mnsAjBlBBdFLvsgY5,spotify:track:6pQr9mnsAjBlBBdFLvsgY5,https://api.spotify.com/v1/tracks/6pQr9mnsAjBlBBdFLvsgY5,https://api.spotify.com/v1/audio-analysis/6pQr9mnsAjBlBBdFLvsgY5,160821,4
21,Drake,Her Loss,Spin Bout U,30T2iUZvOVI8mU1KsWvEGY,54,0.768,0.716,4,-6.423,0,0.0504,0.00792,0.0,0.158,0.184,129.953,audio_features,30T2iUZvOVI8mU1KsWvEGY,spotify:track:30T2iUZvOVI8mU1KsWvEGY,https://api.spotify.com/v1/tracks/30T2iUZvOVI8mU1KsWvEGY,https://api.spotify.com/v1/audio-analysis/30T2iUZvOVI8mU1KsWvEGY,214589,4
22,Drake,Her Loss,Hours In Silence,7ILkOgK9OHrrDj8lH8VXes,45,0.481,0.393,6,-11.901,0,0.0979,0.215,0.0,0.204,0.124,137.047,audio_features,7ILkOgK9OHrrDj8lH8VXes,spotify:track:7ILkOgK9OHrrDj8lH8VXes,https://api.spotify.com/v1/tracks/7ILkOgK9OHrrDj8lH8VXes,https://api.spotify.com/v1/audio-analysis/7ILkOgK9OHrrDj8lH8VXes,399154,4
