popularity,name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
69,Softly,spotify:track:4PvbbMYL4fkToni5BLaYRb,0.759,0.436,0,-11.233,0,0.0419,0.33,0.0113,0.102,0.782,94.03,audio_features,4PvbbMYL4fkToni5BLaYRb,spotify:track:4PvbbMYL4fkToni5BLaYRb,https://api.spotify.com/v1/tracks/4PvbbMYL4fkToni5BLaYRb,https://api.spotify.com/v1/audio-analysis/4PvbbMYL4fkToni5BLaYRb,185307,4
80,All My Life (feat. J. Cole),spotify:track:6T7FXSuXykeGktMLGp8WgE,0.787,0.57,3,-5.881,1,0.225,0.0449,0,0.135,0.733,142.974,audio_features,6T7FXSuXykeGktMLGp8WgE,spotify:track:6T7FXSuXykeGktMLGp8WgE,https://api.spotify.com/v1/tracks/6T7FXSuXykeGktMLGp8WgE,https://api.spotify.com/v1/audio-analysis/6T7FXSuXykeGktMLGp8WgE,223879,4
90,No Role Modelz,spotify:track:68Dni7IE4VyPkTOH9mRWHr,0.69,0.521,10,-8.492,0,0.339,0.324,0,0.0534,0.494,100.028,audio_features,68Dni7IE4VyPkTOH9mRWHr,spotify:track:68Dni7IE4VyPkTOH9mRWHr,https://api.spotify.com/v1/tracks/68Dni7IE4VyPkTOH9mRWHr,https://api.spotify.com/v1/audio-analysis/68Dni7IE4VyPkTOH9mRWHr,292799,4
85,Wet Dreamz,spotify:track:4tqcoej1zPvwePZCzuAjJd,0.495,0.722,6,-8.108,0,0.357,0.0697,0,0.113,0.539,175.627,audio_features,4tqcoej1zPvwePZCzuAjJd,spotify:track:4tqcoej1zPvwePZCzuAjJd,https://api.spotify.com/v1/tracks/4tqcoej1zPvwePZCzuAjJd,https://api.spotify.com/v1/audio-analysis/4tqcoej1zPvwePZCzuAjJd,239267,4
84,MIDDLE CHILD,spotify:track:2JvzF1RMd7lE3KmFlsyZD8,0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,audio_features,2JvzF1RMd7lE3KmFlsyZD8,spotify:track:2JvzF1RMd7lE3KmFlsyZD8,https://api.spotify.com/v1/tracks/2JvzF1RMd7lE3KmFlsyZD8,https://api.spotify.com/v1/audio-analysis/2JvzF1RMd7lE3KmFlsyZD8,213594,4
84,Work Out,spotify:track:2wAJTrFhCnQyNSD3oUgTZO,0.831,0.427,2,-6.903,1,0.106,0.0531,0,0.307,0.216,93.004,audio_features,2wAJTrFhCnQyNSD3oUgTZO,spotify:track:2wAJTrFhCnQyNSD3oUgTZO,https://api.spotify.com/v1/tracks/2wAJTrFhCnQyNSD3oUgTZO,https://api.spotify.com/v1/audio-analysis/2wAJTrFhCnQyNSD3oUgTZO,235320,4
82,on the street (with J. Cole),spotify:track:5wxYxygyHpbgv0EXZuqb9V,0.681,0.821,11,-5.12,0,0.131,0.532,0.00111,0.0921,0.813,94.074,audio_features,5wxYxygyHpbgv0EXZuqb9V,spotify:track:5wxYxygyHpbgv0EXZuqb9V,https://api.spotify.com/v1/tracks/5wxYxygyHpbgv0EXZuqb9V,https://api.spotify.com/v1/audio-analysis/5wxYxygyHpbgv0EXZuqb9V,214701,4
80,m y . l i f e (with 21 Savage & Morray),spotify:track:1D3z6HTiQsNmZxjl7F7eoG,0.597,0.587,7,-7.026,0,0.137,0.0622,0,0.214,0.0753,140.021,audio_features,1D3z6HTiQsNmZxjl7F7eoG,spotify:track:1D3z6HTiQsNmZxjl7F7eoG,https://api.spotify.com/v1/tracks/1D3z6HTiQsNmZxjl7F7eoG,https://api.spotify.com/v1/audio-analysis/1D3z6HTiQsNmZxjl7F7eoG,218802,4
79,She Knows (feat. Amber Coffman & Cults),spotify:track:0Fs9cdPDhptWEDJmiCbkEW,0.766,0.74,1,-10.363,1,0.0807,0.0193,0.0784,0.229,0.183,118.008,audio_features,0Fs9cdPDhptWEDJmiCbkEW,spotify:track:0Fs9cdPDhptWEDJmiCbkEW,https://api.spotify.com/v1/tracks/0Fs9cdPDhptWEDJmiCbkEW,https://api.spotify.com/v1/audio-analysis/0Fs9cdPDhptWEDJmiCbkEW,296520,4
79,Power Trip (feat. Miguel),spotify:track:2uwnP6tZVVmTovzX5ELooy,0.667,0.608,1,-7.054,1,0.216,0.324,0.000198,0.426,0.475,99.992,audio_features,2uwnP6tZVVmTovzX5ELooy,spotify:track:2uwnP6tZVVmTovzX5ELooy,https://api.spotify.com/v1/tracks/2uwnP6tZVVmTovzX5ELooy,https://api.spotify.com/v1/audio-analysis/2uwnP6tZVVmTovzX5ELooy,241160,4
79,Love Yourz,spotify:track:2e3Ea0o24lReQFR4FA7yXH,0.677,0.638,8,-8.631,1,0.333,0.589,0,0.193,0.435,82.81,audio_features,2e3Ea0o24lReQFR4FA7yXH,spotify:track:2e3Ea0o24lReQFR4FA7yXH,https://api.spotify.com/v1/tracks/2e3Ea0o24lReQFR4FA7yXH,https://api.spotify.com/v1/audio-analysis/2e3Ea0o24lReQFR4FA7yXH,211497,4
86,STAY (with Justin Bieber),spotify:track:567e29TDzLwZwfDuEpGTwo,0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,audio_features,567e29TDzLwZwfDuEpGTwo,spotify:track:567e29TDzLwZwfDuEpGTwo,https://api.spotify.com/v1/tracks/567e29TDzLwZwfDuEpGTwo,https://api.spotify.com/v1/audio-analysis/567e29TDzLwZwfDuEpGTwo,141806,4
88,Ghost,spotify:track:6I3mqTwhRpn34SLVafSH7G,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91E-05,0.415,0.441,153.96,audio_features,6I3mqTwhRpn34SLVafSH7G,spotify:track:6I3mqTwhRpn34SLVafSH7G,https://api.spotify.com/v1/tracks/6I3mqTwhRpn34SLVafSH7G,https://api.spotify.com/v1/audio-analysis/6I3mqTwhRpn34SLVafSH7G,153190,4
86,Love Yourself,spotify:track:50kpGaPAhYJ3sGmk6vplg0,0.609,0.378,4,-9.828,1,0.438,0.835,0,0.28,0.515,100.418,audio_features,50kpGaPAhYJ3sGmk6vplg0,spotify:track:50kpGaPAhYJ3sGmk6vplg0,https://api.spotify.com/v1/tracks/50kpGaPAhYJ3sGmk6vplg0,https://api.spotify.com/v1/audio-analysis/50kpGaPAhYJ3sGmk6vplg0,233720,4
78,Beauty And A Beat,spotify:track:6QFCMUUq1T2Vf5sFUXcuQ7,0.601,0.843,0,-4.87,1,0.0593,0.000704,5.27E-05,0.0681,0.534,128.002,audio_features,6QFCMUUq1T2Vf5sFUXcuQ7,spotify:track:6QFCMUUq1T2Vf5sFUXcuQ7,https://api.spotify.com/v1/tracks/6QFCMUUq1T2Vf5sFUXcuQ7,https://api.spotify.com/v1/audio-analysis/6QFCMUUq1T2Vf5sFUXcuQ7,227987,4
64,bad guy,spotify:track:69u7FJV6RIbQS3VuqLPSwl,0.67,0.453,0,-11.265,1,0.295,0.256,0.327,0.117,0.685,135.047,audio_features,69u7FJV6RIbQS3VuqLPSwl,spotify:track:69u7FJV6RIbQS3VuqLPSwl,https://api.spotify.com/v1/tracks/69u7FJV6RIbQS3VuqLPSwl,https://api.spotify.com/v1/audio-analysis/69u7FJV6RIbQS3VuqLPSwl,194840,4
84,Peaches (feat. Daniel Caesar & Giveon),spotify:track:4iJyoBOLtHqaGxP12qzhQI,0.677,0.696,0,-6.181,1,0.119,0.321,0,0.42,0.464,90.03,audio_features,4iJyoBOLtHqaGxP12qzhQI,spotify:track:4iJyoBOLtHqaGxP12qzhQI,https://api.spotify.com/v1/tracks/4iJyoBOLtHqaGxP12qzhQI,https://api.spotify.com/v1/audio-analysis/4iJyoBOLtHqaGxP12qzhQI,198082,4
83,Baby,spotify:track:6epn3r7S14KUqlReYr77hA,0.728,0.859,5,-5.237,0,0.137,0.0401,0,0.111,0.535,65.043,audio_features,6epn3r7S14KUqlReYr77hA,spotify:track:6epn3r7S14KUqlReYr77hA,https://api.spotify.com/v1/tracks/6epn3r7S14KUqlReYr77hA,https://api.spotify.com/v1/audio-analysis/6epn3r7S14KUqlReYr77hA,214240,4
